~id,first_name,last_name,account_number,pg,component,value,created,amount,name,isFraud:bool,~label
account-6597069772533,Duleep,Bandara,0006-5970-6977-2533,,,,,,,,Account
account-6597069772886,Batong,Loan,0006-5970-6977-2886,,,,,,,,Account
account-8796093030982,Barbara,Omonga,0008-7960-9303-0982,,,,,,,,Account
account-10995116278292,Paul,Becker,0010-9951-1627-8292,,,,,,,,Account
account-10995116278973,Paolo,Colombo,0010-9951-1627-8973,,,,,,,,Account
account-10995116279272,Koji,Kato,0010-9951-1627-9272,,,,,,,,Account
account-10995116281209,Abdou,Diouf,0010-9951-1628-1209,,,,,,,,Account
account-10995116281248,Li,Yang,0010-9951-1628-1248,,,,,,,,Account
account-10995116281419,Krzysztof,Kowalski,0010-9951-1628-1419,,,,,,,,Account
account-10995116281609,Hyo-Jin,Yoon,0010-9951-1628-1609,,,,,,,,Account
account-3631,Yang,Hu,0000-0000-0000-3631,,,,,,,,Account
account-5937,Cam,Pham,0000-0000-0000-5937,,,,,,,,Account
account-7038,Adje van den Berg,Bos,0000-0000-0000-7038,,,,,,,,Account
account-8403,Karim,Baya,0000-0000-0000-8403,0.003344482,23,,,,,,Account
account-8463,John,Khan,0000-0000-0000-8463,,,,,,,,Account
account-9343,Hans,Muller,0000-0000-0000-9343,0.003344482,24,,,,,,Account
account-2199023256689,Ferenc,Kovacs,0002-1990-2325-6689,,,,,,,,Account
account-2199023257296,Palghat,Karat,0002-1990-2325-7296,,,,,,,,Account
account-2199023258794,El-Farouk,Adjaye,0002-1990-2325-8794,,,,,,,,Account
account-2199023258806,Nikki,Cruz,0002-1990-2325-8806,,,,,,,,Account
account-28587302330051,Chen,Li,0028-5873-0233-0051,0.003344482,18,,,,,,Account
account-28587302330900,Ai,Xu,0028-5873-0233-0900,,,,,,,,Account
account-28587302332309,Franz,Becker,0028-5873-0233-2309,0.003344482,1,,,,,,Account
account-28587302332677,Billinjer C,Nguyen,0028-5873-0233-2677,0.003344482,10,,,,,,Account
account-30786325579215,Angel,Caveda,0030-7863-2557-9215,,,,,,,,Account
account-30786325581919,Zohair,Hamdan,0030-7863-2558-1919,,,,,,,,Account
account-30786325582143,Ning,Xu,0030-7863-2558-2143,,,,,,,,Account
account-30786325585514,John,Baldini,0030-7863-2558-5514,,,,,,,,Account
account-30786325588693,Chaim Azriel,Hleb,0030-7863-2558-8693,,,,,,,,Account
account-32985348833559,Ching,Hoang,0032-9853-4883-3559,,,,,,,,Account
"feature-hadhramaut, 001",,,,,,"Hadhramaut, 001",,,,,Address
"feature-ratmalana_airport, 001",,,,,,"Ratmalana_Airport, 001",,,,,Address
"feature-daejeon, 002",,,,,,"Daejeon, 002",,,,,Address
"feature-durban, 002",,,,,,"Durban, 002",,,,,Address
"feature-aomori, 003",,,,,,"Aomori, 003",,,,,Address
"feature-concepción, 001",,,,,,"Concepción, 001",,,,,Address
"feature-bei'an, 001",,,,,,"Bei'an, 001",,,,,Address
"feature-gongyi, 003",,,,,,"Gongyi, 003",,,,,Address
"feature-suzhou, 003",,,,,,"Suzhou, 003",,,,,Address
"feature-el_oued, 003",,,,,,"El_Oued, 003",,,,,Address
"feature-tagbilaran, 003",,,,,,"Tagbilaran, 003",,,,,Address
"feature-nilai, 002",,,,,,"Nilai, 002",,,,,Address
"feature-tijuana, 001",,,,,,"Tijuana, 001",,,,,Address
"feature-badung_regency, 001",,,,,,"Badung_Regency, 001",,,,,Address
"feature-san_miguel, 003",,,,,,"San_Miguel, 003",,,,,Address
"feature-abidjan, 003",,,,,,"Abidjan, 003",,,,,Address
"feature-bandundu, 002",,,,,,"Bandundu, 002",,,,,Address
"feature-querétaro, 003",,,,,,"Querétaro, 003",,,,,Address
"feature-jakarta, 003",,,,,,"Jakarta, 003",,,,,Address
"feature-dar_es_salaam, 003",,,,,,"Dar_es_Salaam, 003",,,,,Address
"feature-da'an, 003",,,,,,"Da'an, 003",,,,,Address
"feature-taichung, 002",,,,,,"Taichung, 002",,,,,Address
"feature-buea, 003",,,,,,"Buea, 003",,,,,Address
"feature-belfast, 002",,,,,,"Belfast, 002",,,,,Address
"feature-ciego_de_ávila, 001",,,,,,"Ciego_de_Ávila, 001",,,,,Address
"feature-diamantina, 003",,,,,,"Diamantina, 003",,,,,Address
"feature-comrat, 002",,,,,,"Comrat, 002",,,,,Address
"feature-cyberjaya, 002",,,,,,"Cyberjaya, 002",,,,,Address
"feature-zanzibar, 001",,,,,,"Zanzibar, 001",,,,,Address
"feature-antanifotsy, 002",,,,,,"Antanifotsy, 002",,,,,Address
"feature-shihezi, 003",,,,,,"Shihezi, 003",,,,,Address
"feature-gwangju, 003",,,,,,"Gwangju, 003",,,,,Address
"feature-kampong_speu, 003",,,,,,"Kampong_Speu, 003",,,,,Address
"feature-toronto, 002",,,,,,"Toronto, 002",,,,,Address
"feature-chernivtsi, 001",,,,,,"Chernivtsi, 001",,,,,Address
"feature-gaocheng, 003",,,,,,"Gaocheng, 003",,,,,Address
"feature-kelaniya, 003",,,,,,"Kelaniya, 003",,,,,Address
"feature-pretoria, 001",,,,,,"Pretoria, 001",,,,,Address
"feature-carmen_pampa, 003",,,,,,"Carmen_Pampa, 003",,,,,Address
"feature-ponce, 002",,,,,,"Ponce, 002",,,,,Address
"feature-santos, 001",,,,,,"Santos, 001",,,,,Address
"feature-cebu_city, 002",,,,,,"Cebu_City, 002",,,,,Address
"feature-mainz, 001",,,,,,"Mainz, 001",,,,,Address
"feature-quảng_ngãi, 001",,,,,,"Quảng_Ngãi, 001",,,,,Address
"feature-bas-congo, 002",,,,,,"Bas-Congo, 002",,,,,Address
"feature-pavia, 003",,,,,,"Pavia, 003",,,,,Address
"feature-tokushima, 002",,,,,,"Tokushima, 002",,,,,Address
"feature-fangchenggang, 001",,,,,,"Fangchenggang, 001",,,,,Address
"feature-hanoi, 003",,,,,,"Hanoi, 003",,,,,Address
"feature-tân_an, 001",,,,,,"Tân_An, 001",,,,,Address
"feature-tallinn, 001",,,,,,"Tallinn, 001",,,,,Address
"feature-sarajevo, 003",,,,,,"Sarajevo, 003",,,,,Address
"feature-thika, 003",,,,,,"Thika, 003",,,,,Address
"feature-utrecht, 003",,,,,,"Utrecht, 003",,,,,Address
"feature-ústí_nad_labem, 003",,,,,,"Ústí_nad_Labem, 003",,,,,Address
"feature-newcastle_upon_tyne, 002",,,,,,"Newcastle_upon_Tyne, 002",,,,,Address
"feature-mahajanga, 002",,,,,,"Mahajanga, 002",,,,,Address
"feature-montevideo, 002",,,,,,"Montevideo, 002",,,,,Address
"feature-hadhramaut, 003",,,,,,"Hadhramaut, 003",,,,,Address
"feature-baoji, 003",,,,,,"Baoji, 003",,,,,Address
"feature-emeishan, 002",,,,,,"Emeishan, 002",,,,,Address
"feature-barcelona, 001",,,,,,"Barcelona, 001",,,,,Address
"feature-ho_chi_minh_city, 001",,,,,,"Ho_Chi_Minh_City, 001",,,,,Address
"feature-incheon, 003",,,,,,"Incheon, 003",,,,,Address
"feature-altamira, 003",,,,,,"Altamira, 003",,,,,Address
"feature-heerlen, 002",,,,,,"Heerlen, 002",,,,,Address
"feature-yokosuka, 001",,,,,,"Yokosuka, 001",,,,,Address
"feature-xi'an, 003",,,,,,"Xi'an, 003",,,,,Address
"feature-kabul, 002",,,,,,"Kabul, 002",,,,,Address
"feature-heidelberg, 003",,,,,,"Heidelberg, 003",,,,,Address
account-8796093030318,Bill,Brown,0008-7960-9303-0318,,,,,,,,Account
account-8796093031179,Francisco,Martins,0008-7960-9303-1179,,,,,,,,Account
account-10995116278700,Joseph,Anderson,0010-9951-1627-8700,,,,,,,,Account
account-10995116279792,Gabriel,Rodriguez,0010-9951-1627-9792,0.003344482,0,,,,,,Account
account-10995116279952,Karl,Becker,0010-9951-1627-9952,,,,,,,,Account
account-10995116280047,Ramon,Garcia,0010-9951-1628-0047,,,,,,,,Account
account-10995116280480,Matias,Martinez,0010-9951-1628-0480,,,,,,,,Account
account-10995116285020,Avraham,Al-Shorabi,0010-9951-1628-5020,,,,,,,,Account
account-10995116285325,Jan,Beran,0010-9951-1628-5325,,,,,,,,Account
account-13194139536109,Gamini,Herath,0013-1941-3953-6109,,,,,,,,Account
account-2199023258732,Werner,Becker,0002-1990-2325-8732,0.003344482,1,,,,,,Account
